Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
RSG;Utilidade Pública;Água e Saneamento;Água e Saneamento
TFC;Financeiro e Outros;Intermediários Financeiros;Bancos
NSC;Bens Industriais;Transporte;Transporte Ferroviário
CVNA;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
SLB;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços
TRV;Financeiro e Outros;Previdência e Seguros;Seguradoras
MSI;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
CL;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal
ADSK;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
PCAR;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
AEP;Utilidade Pública;Energia Elétrica;Energia Elétrica
ROST;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
KMI;Utilidade Pública;Gás;Gás
NXPI;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
FTNT;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
LHX;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
AFL;Financeiro e Outros;Previdência e Seguros;Seguradoras
BDX;Saúde;Equipamentos;Equipamentos
APD;Materiais Básicos;Químicos;Químicos Diversos
