Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
HAL;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Equipamentos e Serviços
FE;Utilidade Pública;Energia Elétrica;Energia Elétrica
CINF;Financeiro e Outros;Previdência e Seguros;Seguradoras
PPL;Utilidade Pública;Energia Elétrica;Energia Elétrica
STE;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
LDOS;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
TDY;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
LULU;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
AWK;Utilidade Pública;Água e Saneamento;Água e Saneamento
RF;Financeiro e Outros;Intermediários Financeiros;Bancos
HUBB;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
STZ;Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes
STLD;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
ES;Utilidade Pública;Energia Elétrica;Energia Elétrica
CNP;Utilidade Pública;Energia Elétrica;Energia Elétrica
ON;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
OMC;Comunicações;Mídia;Publicidade
JBL;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
WAT;Tecnologia da Informação;Biotecnologia;Biotecnologia
PPG;Materiais Básicos;Químicos;Químicos Diversos
TROW;Financeiro e Outros;Intermediários Financeiros;Bancos
KEY;Financeiro e Outros;Intermediários Financeiros;Bancos
GIS;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
WSM;Consumo Cíclico;Utilidades Domésticas;Móveis
PHM;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis
DRI;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares
EIX;Utilidade Pública;Energia Elétrica;Energia Elétrica
VRSN;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
CNC;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
LUV;Bens Industriais;Transporte;Transporte Aéreo
RL;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
L;Financeiro e Outros;Previdência e Seguros;Seguradoras
INCY;Tecnologia da Informação;Biotecnologia;Biotecnologia
DVN;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
LH;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
CMS;Utilidade Pública;Energia Elétrica;Energia Elétrica
IP;Materiais Básicos;Madeira e Papel;Papel e Celulose
PODD;Saúde;Equipamentos;Equipamentos
EXPD;Bens Industriais;Serviços;Serviços Diversos
PTC;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
SW;Bens Industriais;Comércio;Material de Transporte
NTAP;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
CHD;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal
WST;Materiais Básicos;Químicos;Químicos Diversos
PFG;Financeiro e Outros;Previdência e Seguros;Seguradoras
DGX;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
TSN;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados
TPL;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
NVR;Financeiro e Outros;Exploração de Imóveis;Exploração de Imóveis
NI;Utilidade Pública;Energia Elétrica;Energia Elétrica
JBHT;Bens Industriais;Transporte;Logística
AMCR;Materiais Básicos;Materiais Diversos;Materiais Diversos
CHRW;Bens Industriais;Serviços;Serviços Diversos
TYL;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
HPQ;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
TRMB;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
ALB;Materiais Básicos;Químicos;Químicos Diversos
CTRA;Materiais Básicos;Mineração;Minerais Não Metálicos
PKG;Materiais Básicos;Embalagens;Embalagens
SNA;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
ZBH;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
GPN;Bens Industriais;Serviços;Serviços Diversos
DD;Materiais Básicos;Químicos;Químicos Diversos
SMCI;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
LII;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
BG;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
APTV;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
IT;Consumo não Cíclico;Diversos;Produtos Diversos
DOW;Materiais Básicos;Químicos;Químicos Diversos
MKC;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
IFF;Materiais Básicos;Químicos;Químicos Diversos
FTV;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
GPC;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
CDW;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
HOLX;Saúde;Equipamentos;Equipamentos
EVRG;Utilidade Pública;Energia Elétrica;Energia Elétrica
LNT;Utilidade Pública;Energia Elétrica;Energia Elétrica
