;ticket;2024;2023;2022;2021;2020;2019;2018;2017;2016
P/Ativo;bpac5;0.12;0.23;0.17;0.19;0.25;0.34;0.12;0.11;
LPA;bpac5;0.93;0.87;0.66;0.76;1.21;1.42;0.48;0.76;1.76
P/SR;bpac5;2.32;4.59;2.86;3.56;4.73;5.45;2.66;2.27;
P/Cap. Giro;bpac5;17.05;-0.29;6.2;4.16;6.61;3.25;2.55;0.94;
P/Ativo Circ. Liq.;bpac5;-0.12;-0.23;-2.01;-2.56;-0.85;-1.39;-0.37;-0.32;
Dív. líquida/PL;bpac5;;;;;;;;;
Dív. líquida/EBITDA;bpac5;;;;;;;;;
Dív. líquida/EBIT;bpac5;;;;;;;;;
PL/Ativos;bpac5;0.09;0.12;0.12;0.12;0.11;0.12;0.14;0.16;0.16
Passivos/Ativos;bpac5;0.9;0.99;1.09;0.88;0.89;0.88;0.86;0.84;0.84
Liq. corrente;bpac5;0.01;0.01;0.01;1.1;0.92;1.16;;;
M. Bruta;bpac5;38.87;90.74;79.36;33.71;-7.36;31.18;-11.15;21.91;56.37
M. EBITDA;bpac5;39.87;60.58;43.62;53.23;13.57;38.56;5.22;16.66;37.55
M. EBIT;bpac5;37.0;47.38;42.61;54.68;7.72;43.67;6.59;21.07;53.63
M. Líquida;bpac5;31.0;40.54;33.57;51.82;24.86;33.69;17.14;27.62;36.42
ROE;bpac5;18.0;19.21;16.84;23.27;12.29;17.59;6.75;11.02;26.56
ROA;bpac5;1.66;2.26;2.05;2.73;1.3;2.13;0.97;1.76;4.25
ROIC;bpac5;;;;;;;;;
Giro ativos;bpac5;0.05;0.06;0.06;0.05;0.05;0.06;0.06;0.06;0.12
CAGR Receitas 5 anos;bpac5;25.49;26.97;24.68;5.25;2.49;-0.86;-3.31;-1.5;19.8
CAGR Lucros 5 anos;bpac5;23.42;50.83;29.63;12.94;34.81;12.13;-12.39;-0.63;28.82
D.Y;itub4;7.85;3.7;4.07;4.34;4.12;7.56;6.25;0.76;2.47
Div;itub4;2.41;1.25;1.01;0.9;1.3;2.80;1.49;0.21;0.55
P/L;itub4;7.33;10.06;8.39;7.68;16.4;13.42;9.32;12.08;9.37
PEG Ratio;itub4;0.3;;;;;;1.26;1.67;-0.59
P/VP;itub4;1.43;1.75;1.46;1.34;2.17;2.66;1.7;2.13;1.65
EV/EBITDA;itub4;5.23;6.03;5.54;4.22;32.56;9.73;;;
EV/EBIT;itub4;5.94;7.75;6.26;4.65;55.77;10.84;6.99;8.63;5.35
P/EBITDA;itub4;5.58;6.53;5.91;4.42;34.59;10.45;;;
P/EBIT;itub4;6.34;8.39;6.68;4.86;59.26;11.64;7.58;9.16;5.68
VPA;itub4;21.53;19.4;17.11;15.59;14.59;13.97;20.93;19.96;20.49
P/Ativo;itub4;0.11;0.13;0.11;0.1;0.15;0.22;0.15;0.2;0.15
LPA;itub4;4.19;3.38;2.98;2.73;1.93;2.77;3.81;3.52;3.61
P/SR;itub4;0.9;1.06;0.95;1.05;1.78;1.88;1.77;1.87;1.16
P/Cap. Giro;itub4;8.34;-5.15;;;;;;;
P/Ativo Circ. Liq.;itub4;-0.11;-0.13;-0.11;-0.1;-0.16;-0.23;-0.15;-0.2;-0.15
Dív. líquida/PL;itub4;;;;;;;;;
Dív. líquida/EBITDA;itub4;;;;;;;;;
Dív. líquida/EBIT;itub4;;;;;;;;;
PL/Ativos;itub4;0.07;0.07;0.07;0.07;0.07;0.08;0.09;0.09;0.09
Passivos/Ativos;itub4;0.92;0.92;0.92;0.92;0.92;0.91;0.9;0.9;0.9
Liq. corrente;itub4;0.31;0.33;;;;;;;
M. Bruta;itub4;40.48;39.76;44.22;57.23;57.67;60.65;46.23;47.63;45.64
M. EBITDA;itub4;16.1;16.28;16.02;23.75;5.16;18.03;;;
M. EBIT;itub4;14.18;12.67;14.17;21.58;3.01;16.18;23.31;20.45;20.39
M. Líquida;itub4;12.25;10.57;11.28;13.68;10.87;14.05;18.97;15.51;12.36
ROE;itub4;19.46;17.41;17.41;17.51;13.21;19.8;18.21;17.18;17.65
ROA;itub4;1.44;1.3;1.26;1.29;0.94;1.66;1.6;1.61;1.6
ROIC;itub4;;;;;;;;;
Giro ativos;itub4;0.12;0.12;0.11;0.09;0.09;0.12;0.08;0.1;0.13
CAGR Receitas 5 anos;itub4;11.68;18.99;11.61;2.26;6.04;8.39;6.73;8.05;11.05
CAGR Lucros 5 anos;itub4;8.67;5.86;4.72;4.35;-5.99;4.69;8.68;12.92;9.34
D.Y;sanb4;6.7;5.14;7.86;9.31;6.26;4.65;4.5;5.86;4.86
Div;sanb4;0.84;0.87;1.17;1.48;1.46;1.09;0.92;0.77;0.48
P/L;sanb4;7.02;13.42;7.81;7.69;13.13;10.75;12.23;11.2;10.36
PEG Ratio;sanb4;0.17;;;;;;0.3;0.52;-0.41
P/VP;sanb4;0.79;1.11;1.02;1.1;2.08;2.53;1.69;1.15;0.9
EV/EBITDA;sanb4;;;;;;7.53;;;
EV/EBIT;sanb4;4.65;10.16;5.4;4.54;17.39;8.34;10.06;8.31;6.82
P/EBITDA;sanb4;;;;;;7.15;;;
P/EBIT;sanb4;4.91;10.69;5.72;4.83;18.23;7.92;9.68;6.89;4.64
VPA;sanb4;15.94;15.26;14.69;14.54;11.32;9.29;12.14;11.46;11.12
P/Ativo;sanb4;0.08;0.11;0.11;0.12;0.18;0.21;0.21;0.15;0.12
LPA;sanb4;1.79;1.27;1.91;2.08;1.79;2.19;1.68;1.18;0.97
P/SR;sanb4;0.69;0.99;0.97;1.53;2.81;2.42;2.18;1.4;0.99
P/Cap. Giro;sanb4;2.54;-0.12;-0.13;-0.27;-0.37;-1.97;;;
P/Ativo Circ. Liq.;sanb4;-0.08;-0.11;-0.12;-0.14;-0.21;-0.53;-0.22;-0.18;-0.15
Dív. líquida/PL;sanb4;;;;;;;;;
Dív. líquida/EBITDA;sanb4;;;;;;;;;
Dív. líquida/EBIT;sanb4;;;;;;;;;
PL/Ativos;sanb4;;0.1;0.1;0.11;0.09;0.13;0.13;0.13;0.13
Passivos/Ativos;sanb4;;0.9;0.82;0.89;0.91;0.87;0.87;0.87;0.87
Liq. corrente;sanb4;;0.47;0.44;0.23;0.26;0.03;;;
M. Bruta;sanb4;41.32;36.55;41.23;65.8;70.8;60.85;59.48;48.93;39.65
M. EBITDA;sanb4;;;;;;33.86;;;
M. EBIT;sanb4;13.99;9.29;16.99;31.74;15.39;30.58;22.57;20.32;21.24
M. Líquida;sanb4;9.78;7.4;12.44;19.95;21.38;22.52;17.85;12.5;9.51
ROE;sanb4;;8.3;13.01;14.27;15.81;16.98;13.83;10.3;8.72
ROA;sanb4;;0.85;1.35;1.59;1.36;2.15;1.74;1.38;1.16
ROIC;sanb4;;;;;;;;;
Giro ativos;sanb4;;0.11;0.11;0.08;0.06;0.1;0.1;0.11;0.12
CAGR Receitas 5 anos;sanb4;13.5;12.73;10.04;0.22;-2.12;4.33;6.59;6.29;8.33
CAGR Lucros 5 anos;sanb4;-4.21;-5.47;9.95;16.23;6.52;23.85;17.06;10.23;-1.07
